Plant,Chinese Name,Capacity (MW),Status,Year,RETIRED,Planned Retire,Latitude,Longitude,Tracker ID,Annual CO2 (million tonnes / annum),"Subnational unit (province, state)",resource
Baode Coalbed Methane power station,保徳煤层气发电站,144,operating,2019,NA,NA,38.972742,110.979596,G405822,0.189216,Shanxi,gas
Beijing Energy Caoqiao Gas Thermal power station,北京市草桥燃气热电厂,838,operating,2013,NA,NA,39.83456,116.356664,G405164,1.101132,Beijing,gas
Beijing Energy Future City Gas and Thermal power station,京能未来城燃气热电厂,255,operating,2014,NA,NA,40.101992,116.468024,G405166,0.33507,Beijing,gas
Beijing Energy Gao'antun Gas Thermal power station,京能高安屯燃气热电厂,845,operating,2014,NA,NA,39.947119,116.614327,G405165,1.11033,Beijing,gas
Beijing Energy Jingfeng Gas Thermal power station,京能京丰燃气发电厂,410,operating,2006,NA,NA,39.812616,116.143368,G405160,0.53874,Beijing,gas
Beijing Energy Jingxi Gas Thermal power station,京能京西燃气热电厂,873,operating,2014,NA,NA,39.942898,116.126776,G405161,1.147122,Beijing,gas
Beijing Energy Jingxi Gas Thermal power station,京能京西燃气热电厂,434,operating,2014,NA,NA,39.942898,116.126776,G405162,0.570276,Beijing,gas
Beijing Energy Shangzhuang Gas Thermal power station,京能上庄燃气热电厂,266,operating,2018,NA,NA,40.087064,116.194772,G405159,0.349524,Beijing,gas
Beijing Energy Sun Palace Gas Thermal power station,京能太阳宫燃气热电厂,390,operating,2008,NA,NA,39.978557,116.438761,G405163,0.51246,Beijing,gas
Beijing Energy Sun Palace Gas Thermal power station,京能太阳宫燃气热电厂,390,operating,2008,NA,NA,39.978557,116.438761,G409888,0.51246,Beijing,gas
Beijing Energy Zhuhai Yuhai Gas Thermal power station,京能珠海钰海燃气热电厂,465,operating,2020,NA,NA,22.093095,113.155431,G405228,0.61101,Guangdong,gas
Beijing Energy Zhuhai Yuhai Gas Thermal power station,京能珠海钰海燃气热电厂,465,operating,2020,NA,NA,22.093095,113.155431,G405229,0.61101,Guangdong,gas
Beijing Zhengdong Electronic Power Group South power station,北京正东电子动力集团动力南厂,122,operating,2009,NA,NA,39.97191,116.494381,G405167,0.160308,Beijing,gas
