Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year
G100098,L101596,P101672,https://www.gem.wiki/Aksu_Cogen_power_station,China,Xinjiang,Aksu Cogen 1,Aksu Cogen power station,浙能新疆阿克苏纺织工业城热电厂,NA,Zhejiang Zheneng Elec Pow Co,Zhejiang Provincial Energy Group,350,operating,2016,NA,NA,supercritical,unknown,NA,Textile Industry Town,Aksu,Aksu,East Asia,41.154153,80.399732,exact,2015-1-15,NA,NA,NA,9250,96100,51.00%,1.5,51.3,35,coal,2056,2016
G100099,L101596,P101672,https://www.gem.wiki/Aksu_Cogen_power_station,China,Xinjiang,Aksu Cogen 2,Aksu Cogen power station,浙能新疆阿克苏纺织工业城热电厂,NA,Zhejiang Zheneng Elec Pow Co,Zhejiang Provincial Energy Group,350,operating,2017,NA,NA,supercritical,unknown,NA,Textile Industry Town,Aksu,Aksu,East Asia,41.154153,80.399732,exact,2015-1-15,NA,NA,NA,9250,96100,51.00%,1.5,52.8,36,coal,2057,2017
G100108,L101597,P101988,https://www.gem.wiki/Aksu_Xuzhou_power_station,China,Xinjiang,Aksu Xuzhou 1,Aksu Xuzhou power station,徐矿集团新疆阿克苏电厂一期热电联产项目,NA,Jiangsu Energy Investment Group,Xuzhou Mining Group,200,operating,2011,NA,NA,subcritical,unknown,NA,Western Heavey Industry Park near 314 National Road,Aksu,Aksu,East Asia,41.078773,80.16948,exact,2009-9-30,NA,NA,NA,11313,96100,51.00%,1,30.7,30,coal,2051,2011
G100109,L101597,P101988,https://www.gem.wiki/Aksu_Xuzhou_power_station,China,Xinjiang,Aksu Xuzhou 2,Aksu Xuzhou power station,徐矿集团新疆阿克苏电厂一期热电联产项目,NA,Jiangsu Energy Investment Group,Xuzhou Mining Group,200,operating,2011,NA,NA,subcritical,unknown,NA,Western Heavey Industry Park near 314 National Road,Aksu,Aksu,East Asia,41.078773,80.16948,exact,2009-9-30,NA,NA,NA,11313,96100,51.00%,1,30.7,30,coal,2051,2011
G112054,L100792,P100714,https://www.gem.wiki/Guodian_Alashan_Left_Qi_Wusitai-2_power_station,China,Inner Mongolia,Alashan Left Qi Wusitai power station Unit 1,Alashan Left Qi Wusitai power station,蒙能阿拉善左旗乌斯太热电厂,Wusitai power station,Inner Mongolia Energy Engineering Investment Group,Inner Mongolia Asset Management Bureau,300,operating,2008,NA,NA,unknown,unknown,NA,Wusitai Town,Alxa Left Banner,Alxa,East Asia,39.446016,106.667694,exact,2015-10-20,NA,NA,NA,10326,96100,51.00%,1.4,37.9,27,coal,2048,2008
G112055,L100792,P100714,https://www.gem.wiki/Guodian_Alashan_Left_Qi_Wusitai-2_power_station,China,Inner Mongolia,Alashan Left Qi Wusitai power station Unit 2,Alashan Left Qi Wusitai power station,蒙能阿拉善左旗乌斯太热电厂,Wusitai power station,Inner Mongolia Energy Engineering Investment Group,Inner Mongolia Asset Management Bureau,300,operating,2010,NA,NA,unknown,unknown,NA,Wusitai Town,Alxa Left Banner,Alxa,East Asia,39.446016,106.667694,exact,2015-10-20,NA,NA,NA,10326,96100,51.00%,1.4,40.7,29,coal,2050,2010
G113040,L100602,P101627,https://gem.wiki/Anda_Cogen_power_station,China,Heilongjiang,Anda Cogen power station Unit 1,Anda Cogen power station,鑫玛热电集团安达热电联产,安达鑫玛热电,Xinma Cogen Group,Xinma Cogen Group,50,operating,2014,NA,NA,subcritical,unknown,NA,Tiexi Tiancaizhan,Anda,Suihua,East Asia,46.399604,125.298159,exact,2015-2-15,NA,NA,NA,10442,96100,51.00%,0.2,7.8,33,coal,2054,2014
G113041,L100602,P101627,https://gem.wiki/Anda_Cogen_power_station,China,Heilongjiang,Anda Cogen power station Unit 2,Anda Cogen power station,鑫玛热电集团安达热电联产,安达鑫玛热电,Xinma Cogen Group,Xinma Cogen Group,50,operating,2014,NA,NA,subcritical,unknown,NA,Tiexi Tiancaizhan,Anda,Suihua,East Asia,46.399604,125.298159,exact,2015-2-15,NA,NA,NA,10442,96100,51.00%,0.2,7.8,33,coal,2054,2014
G100238,L100200,Q200444,https://www.gem.wiki/Anhui_Bengbu_power_station,China,Anhui,Anhui Bengbu power station Unit 1,Anhui Bengbu power station,国电蚌埠发电公司一期,NA,"Guodian Anhui Power Co, Ltd 50%; Wenergy Group 30%; Huainan Mining Group 20%.","National Energy Investment Group (50%), Wenergy Group (30%), Huainan Mining Group (20%)",630,operating,2008,NA,NA,supercritical,bituminous,NA,Xiaoyi,Huaiyuan,Bengbu,East Asia,32.78444,117.11472,exact,NA,NA,NA,NA,9250,94600,51.00%,2.6,70.2,27,coal,2048,2008
G100239,L100200,Q200444,https://www.gem.wiki/Anhui_Bengbu_power_station,China,Anhui,Anhui Bengbu power station Unit 2,Anhui Bengbu power station,国电蚌埠发电公司一期,NA,"Guodian Anhui Power Co, Ltd 50%; Wenergy Group 30%; Huainan Mining Group 20%.","National Energy Investment Group (50%), Wenergy Group (30%), Huainan Mining Group (20%)",630,operating,2009,NA,NA,supercritical,bituminous,NA,Xiaoyi,Huaiyuan,Bengbu,East Asia,32.78444,117.11472,exact,NA,NA,NA,NA,9250,94600,51.00%,2.6,72.8,28,coal,2049,2009
G100236,L100200,Q200444,https://www.gem.wiki/Anhui_Bengbu_power_station,China,Anhui,Anhui Bengbu power station Unit 3,Anhui Bengbu power station,国电蚌埠发电公司二期,NA,"Guodian Anhui Power Co, Ltd 50%; Wenergy Group 30%; Huainan Mining Group 20%.","National Energy Investment Group (50%), Wenergy Group (30%), Huainan Mining Group (20%)",660,operating,2018,NA,NA,ultra-super,bituminous,NA,Xiaoyi Township,Huaiyuan,Bengbu,East Asia,32.78444,117.11472,exact,2015-5-12,NA,NA,NA,8272,94600,51.00%,2.4,90.1,37,coal,2058,2018
G100237,L100200,Q200444,https://www.gem.wiki/Anhui_Bengbu_power_station,China,Anhui,Anhui Bengbu power station Unit 4,Anhui Bengbu power station,国电蚌埠发电公司二期,NA,"Guodian Anhui Power Co, Ltd 50%; Wenergy Group 30%; Huainan Mining Group 20%.","National Energy Investment Group (50%), Wenergy Group (30%), Huainan Mining Group (20%)",660,operating,2018,NA,NA,ultra-super,bituminous,NA,Xiaoyi Township,Huaiyuan,Bengbu,East Asia,32.78444,117.11472,exact,2015-5-12,NA,NA,NA,8272,94600,51.00%,2.4,90.1,37,coal,2058,2018
G100240,L100202,P100674,https://www.gem.wiki/Anhui_Hwasu_power_station,China,Anhui,Anhui Hwasu power station Unit 1,Anhui Hwasu power station,淮北矿业华塑自备热电厂一期,NA,Anhui Hwasu Corp,Huaibei Coal Mining Group,300,operating,2012,NA,NA,subcritical,unknown,NA,Luqiao Town,Dingyuan,Chuzhou,East Asia,32.584793,117.253237,exact,2015-7-31,chemicals,CHP,NA,9572,96100,51.00%,1.3,40.3,31,coal,2052,2012
G100241,L100202,P100674,https://www.gem.wiki/Anhui_Hwasu_power_station,China,Anhui,Anhui Hwasu power station Unit 2,Anhui Hwasu power station,淮北矿业华塑自备热电厂一期,NA,Anhui Hwasu Corp,Huaibei Coal Mining Group,300,operating,2012,NA,NA,subcritical,unknown,NA,Luqiao Town,Dingyuan,Chuzhou,East Asia,32.584793,117.253237,exact,2015-7-31,chemicals,CHP,NA,9572,96100,51.00%,1.3,40.3,31,coal,2052,2012
G114217,L104586,Q200895,https://gem.wiki/Anhui_Xinyuan_Thermal_Power_Station,China,Anhui,Anhui Xinyuan Thermal Unit 3,Anhui Xinyuan Thermal Power Station,安徽新源热电公司,NA,Anhui Xinyuan Thermal Power Company,"Zhouji Energy (70%), Benbu Investment Group (30%)",30,operating,1989,NA,NA,subcritical,unknown,NA,220 Changzheng Road,Yuhui,Bengbu,East Asia,32.93653,117.323709,exact,NA,NA,NA,NA,12618,96100,51.00%,0.2,1.4,8,coal,2029,1989
