Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year,age_at_2030,lifetime_remain,CO2_reduction,ttl_CO2_reduction,retrofit_year
G111298,L100417,P101102,https://www.gem.wiki/Yangxi_Zhujiang_power_station,China,Guangdong,Yangxi Zhujiang power station Unit 5,Yangxi Zhujiang power station,珠江投资广东华厦阳西发电厂二期,NA,Yangxi Haibin Electric Power Development Co,Pearl River Investment,1240,operating,2020,NA,NA,ultra-super,bituminous,NA,Xitou Town Qingwanzai,Yangxi,Yangjiang,East Asia,21.54264,111.67033,exact,2019-12-30,NA,NA,NA,8272,94600,51.00%,4.6,178.4,39,coal,2060,2020,10,38,4.232,160.816,2030
G111299,L100417,P101102,https://www.gem.wiki/Yangxi_Zhujiang_power_station,China,Guangdong,Yangxi Zhujiang power station Unit 6,Yangxi Zhujiang power station,珠江投资广东华厦阳西发电厂二期,NA,Yangxi Haibin Electric Power Development Co,Pearl River Investment,1240,operating,2020,NA,NA,ultra-super,bituminous,NA,Xitou Town Qingwanzai,Yangxi,Yangjiang,East Asia,21.54264,111.67033,exact,2019-12-30,NA,NA,NA,8272,94600,51.00%,4.6,178.4,39,coal,2060,2020,10,38,4.232,160.816,2030
G111453,L101219,Q200671,https://www.gem.wiki/Shenhua_Yuanyang_Lake_power_station,China,Ningxia,Yuanyang Lake 3,Shenhua Yuanyang Lake power station,神华国能宁夏鸳鸯湖发电公司二期,NA,Shenhua Guoneng Energy Group 56%; Ningxia Ningdong Development Investment Co (宁夏宁东开发投资有限公司) 39.00%; Zhejiang Zheneng Elec Pow Co 5.00%,"National Energy Investment Group (56%), Ningxia Ningdong Development Investment (39%), Zhejiang Provincial Energy Group (5%)",1100,operating,2019,NA,NA,ultra-super,bituminous,NA,Ningdong Town,Lingwu,Yinchuan,East Asia,38.0575,106.691389,exact,2015-1-6,NA,NA,NA,8272,94600,51.00%,4.1,154.2,38,coal,2059,2019,11,37,3.772,139.564,2030
G111454,L101219,Q200671,https://www.gem.wiki/Shenhua_Yuanyang_Lake_power_station,China,Ningxia,Yuanyang Lake 4,Shenhua Yuanyang Lake power station,神华国能宁夏鸳鸯湖发电公司二期,NA,Shenhua Guoneng Energy Group 56%; Ningxia Ningdong Development Investment Co (宁夏宁东开发投资有限公司) 39.00%; Zhejiang Zheneng Elec Pow Co 5.00%,"National Energy Investment Group (56%), Ningxia Ningdong Development Investment (39%), Zhejiang Provincial Energy Group (5%)",1100,operating,2019,NA,NA,ultra-super,bituminous,NA,Ningdong Town,Lingwu,Yinchuan,East Asia,38.0575,106.691389,exact,2015-1-6,NA,NA,NA,8272,94600,51.00%,4.1,154.2,38,coal,2059,2019,11,37,3.772,139.564,2030
G108893,L100707,Q200562,https://www.gem.wiki/SDIC_Neixiang_power_station,China,Henan,SDIC Neixiang unit 2,SDIC Neixiang power station,中誉国信南阳发电公司,国投南阳发电公司内乡煤电一体化电厂,Zhongyu Guoxin Investment Co (中誉国信投资有限公司) 49%; Henan Huachen Power Group (河南华晨电力集团有限公司) 43.04%; Neixiang County Investment Holding Co (内乡县投资控股有限责任公司） 7.6%,"Zhongyu Guoxin Energy (49%), Yongtai Group (43%), Neixiang County Investment Holding (8%)",1000,operating,2021,NA,NA,ultra-super,unknown,NA,"Tuandong Town, Dongwanggou Village",Neixiang,Nanyang,East Asia,33.086416,111.90004,exact,2015-7-31,NA,NA,NA,8272,96100,51.00%,3.7,149.9,40,coal,2061,2021,9,39,3.4040000000000004,132.756,2030
G111465,L101551,Q200842,https://www.gem.wiki/Yuguang_Coal_power_station,China,Shanxi,Yuguang unit 1,Yuguang Coal power station,山西国际能源裕光煤电盂县电厂,NA,Gemeng International,"Shanxi International Energy Group (51%), Beijing Energy Group (24%), Hebei Construction & Investment Group (20%), Shanxi Jinyu Coal Industry Group (5%)",1000,operating,2021,NA,NA,ultra-super,unknown,Yu County Local Coal Resource,Niucun Town,Yu,Yangquan,East Asia,38.078135,113.482791,exact,2016-11-8,NA,NA,NA,8272,96100,51.00%,3.7,149.9,40,coal,2061,2021,9,39,3.4040000000000004,132.756,2030
G111602,L101555,P100341,https://www.gem.wiki/Zhangze_Changzhi_power_station,China,Shanxi,Zhangze Changzhi power station Unit 7,Zhangze Changzhi power station,同煤漳泽电力漳泽发电分公司,晋能控股集团长治发电公司,Zhangze Power,Datong Coal Mining Group,1000,operating,2021,NA,NA,ultra-super,unknown,NA,Machang,Jiaoqu,Changzhi,East Asia,36.332101,113.102205,exact,2015-12-21,NA,NA,NA,8272,96100,51.00%,3.7,149.9,40,coal,2061,2021,9,39,3.4040000000000004,132.756,2030
G111603,L101555,P100341,https://www.gem.wiki/Zhangze_Changzhi_power_station,China,Shanxi,Zhangze Changzhi power station Unit 8,Zhangze Changzhi power station,同煤漳泽电力漳泽发电分公司,晋能控股集团长治发电公司,Zhangze Power,Datong Coal Mining Group,1000,operating,2021,NA,NA,ultra-super,unknown,NA,Machang,Jiaoqu,Changzhi,East Asia,36.332101,113.102205,exact,2015-12-21,NA,NA,NA,8272,96100,51.00%,3.7,149.9,40,coal,2061,2021,9,39,3.4040000000000004,132.756,2030
G111006,L101697,P101617,https://www.gem.wiki/Wujiaqu_power_station,China,Xinjiang,Wujiaqu 6,Wujiaqu power station,信发农六师煤电公司五家渠发电厂二期,NA,"聊城信源集团有限公司(51%), 茌平信友企业管理有限公司 (49%)",Xinfa Group,1100,operating,2015,NA,NA,ultra-super,lignite,NA,Wutong Town,Wujiaqu,NA,East Asia,44.26892,87.687877,exact,no permit,aluminum,power,NA,8272,101000,51.00%,4.3,147.3,34,coal,2055,2015,15,33,3.956,130.548,2030
G101468,L100542,Q200521,https://www.gem.wiki/China_Resources_Caofeidian_power_station,China,Hebei,China Resources Caofeidian 4,China Resources Caofeidian power station,华润电力唐山曹妃甸公司二期,Tangshan Caofeidian power station,China Resources Power Holdings 90%; Tangshan Construction Investment Co (唐山建设投资有限责任公司) 10.00%.,"China Resources (90%), Tangshan Construction Investment (10%)",1000,operating,2020,NA,NA,ultra-super,bituminous,NA,Caofeidian Port - Tangshan City,Caofeidian,Tangshan,East Asia,38.9960653,118.4875488,exact,2014-12-24,NA,NA,NA,8272,94600,51.00%,3.7,143.9,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G102033,L101316,P100233,https://www.gem.wiki/Datang_Dongying_power_station,China,Shandong,Datang Dongying 1,Datang Dongying power station,大唐东营发电公司一期,NA,Datang Shandong Power Gen Co,China Datang,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Dongying Port,Hekou District,Dongying,East Asia,38.113151,118.910229,exact,2015-8-11,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G102034,L101316,P100233,https://www.gem.wiki/Datang_Dongying_power_station,China,Shandong,Datang Dongying 2,Datang Dongying power station,大唐东营发电公司一期,NA,Datang Shandong Power Gen Co,China Datang,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Dongying Port,Hekou District,Dongying,East Asia,38.113151,118.910229,exact,2015-8-11,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G102102,L100354,P100233,https://www.gem.wiki/Datang_Leizhou_power_station,China,Guangdong,Datang Leizhou power station Unit 2,Datang Leizhou power station,大唐国际雷州电厂上大压小新建项目,NA,Datang International Power Generation Co 34%; Datang Huayin Power Co 33.00%; China Datang 30%; 雷州市培财基础设施建设有限公司 3%,China Datang,1000,operating,2020,NA,NA,ultra-super,unknown,NA,"Gangcai Village, Wushi Town",Leizhou,Zhanjiang,East Asia,20.51161,109.82803,exact,2015-1-13,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G102941,L100318,P102137,https://www.gem.wiki/Gansu_Electric_Guazhou_Changle_power_station,China,Gansu,Gansu Electric Guazhou Changle power station Unit 1,Gansu Electric Guazhou Changle power station,甘肃电投常乐发电公司一期,NA,Gansu Electric Power Investment Co Ltd,Gansu Electric Power Investment Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Bulongji Xiang,Guazhou,Jiuquan,East Asia,40.6599,96.513,exact,2016-8-15,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G102942,L100318,P102137,https://www.gem.wiki/Gansu_Electric_Guazhou_Changle_power_station,China,Gansu,Gansu Electric Guazhou Changle power station Unit 2,Gansu Electric Guazhou Changle power station,甘肃电投常乐发电公司一期,NA,Gansu Electric Power Investment Co Ltd,Gansu Electric Power Investment Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Bulongji Xiang,Guazhou,Jiuquan,East Asia,40.6599,96.513,exact,2016-8-15,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G105138,L100680,P102057,https://www.gem.wiki/Jiaozuo_Danhe_power_station,China,Henan,Jiaozuo Danhe-2 No 2,Jiaozuo Danhe power station,国家电投河南电力沁阳分公司,国家电投焦作丹河电厂上大压小异地扩建项目,"SPIC Henan Electric Power Co, Ltd.100%",State Power Investment Corporation,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Xiwan Town Xiaoweiying Villege,Qinyang,Jiaozuo,East Asia,35.188487,112.887561,exact,2015-7-31,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G106643,L100392,P100584,https://www.gem.wiki/Maoming_Bohe_power_station,China,Guangdong,Maoming Bohe 1,Maoming Bohe power station,粤电博贺煤电公司一期,NA,"Guangdong Electric Power Development Co (65%), Guangzhou Development Group (25%), 汕尾市国有资产经营管理中心 (10%)",Guangdong Yudean Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Diancheng Town,Dianbai,Maoming,East Asia,21.441033,111.289628,exact,2020-1,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G106644,L100392,P100584,https://www.gem.wiki/Maoming_Bohe_power_station,China,Guangdong,Maoming Bohe 2,Maoming Bohe power station,粤电博贺煤电公司一期,NA,"Guangdong Electric Power Development Co (65%), Guangzhou Development Group (25%), 汕尾市国有资产经营管理中心 (10%)",Guangdong Yudean Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Diancheng Town,Dianbai,Maoming,East Asia,21.441033,111.289628,exact,2020-1,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G108892,L100707,Q200562,https://www.gem.wiki/SDIC_Neixiang_power_station,China,Henan,SDIC Neixiang unit 1,SDIC Neixiang power station,中誉国信南阳发电公司,国投南阳发电公司内乡煤电一体化电厂,Zhongyu Guoxin Investment Co (中誉国信投资有限公司) 49%; Henan Huachen Power Group (河南华晨电力集团有限公司) 43.04%; Neixiang County Investment Holding Co (内乡县投资控股有限责任公司） 7.6%,"Zhongyu Guoxin Energy (49%), Yongtai Group (43%), Neixiang County Investment Holding (8%)",1000,operating,2020,NA,NA,ultra-super,unknown,NA,"Tuandong Town, Dongwanggou Village",Neixiang,Nanyang,East Asia,33.086416,111.90004,exact,2015-7-31,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G109117,L100948,P101276,https://www.gem.wiki/Shanneng_Shenglu_power_station,China,Inner Mongolia,Shanneng Shenglu power station unit 1,Shanneng Shenglu power station,山东能源上海庙盛鲁电厂,NA,Shandong Energy Group,Shandong Energy Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Shanghaimiao Town,Otog Front Banner,Ordos,East Asia,38.373756,106.782583,exact,2016-07-01,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G109118,L100948,P101276,https://www.gem.wiki/Shanneng_Shenglu_power_station,China,Inner Mongolia,Shanneng Shenglu power station unit 2,Shanneng Shenglu power station,山东能源上海庙盛鲁电厂,NA,Shandong Energy Group,Shandong Energy Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Shanghaimiao Town,Otog Front Banner,Ordos,East Asia,38.373756,106.782583,exact,2016-07-01,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2060,2020,10,38,3.4040000000000004,129.352,2030
G105306,L101074,P102056,https://www.gem.wiki/Shenhua_Jiujiang_power_station,China,Jiangxi,Jiujiang Shenhua 1,Shenhua Jiujiang power station,神华国华九江发电公司一期,NA,China Shenhua Energy Co,National Energy Investment Group,1052,operating,2018,NA,NA,ultra-super,unknown,NA,Liusi Town,Hukou,Jiujiang,East Asia,29.826619,116.375973,exact,2014-12-12,NA,NA,NA,8272,96100,51.00%,3.9,145.9,37,coal,2058,2018,12,36,3.588,129.168,2030
G105307,L101074,P102056,https://www.gem.wiki/Shenhua_Jiujiang_power_station,China,Jiangxi,Jiujiang Shenhua 2,Shenhua Jiujiang power station,神华国华九江发电公司一期,NA,China Shenhua Energy Co,National Energy Investment Group,1052,operating,2018,NA,NA,ultra-super,unknown,NA,Liusi Town,Hukou,Jiujiang,East Asia,29.826619,116.375973,exact,2014-12-12,NA,NA,NA,8272,96100,51.00%,3.9,145.9,37,coal,2058,2018,12,36,3.588,129.168,2030
G111005,L101697,P101617,https://www.gem.wiki/Wujiaqu_power_station,China,Xinjiang,Wujiaqu 5,Wujiaqu power station,信发农六师煤电公司五家渠发电厂二期,NA,"聊城信源集团有限公司(51%), 茌平信友企业管理有限公司 (49%)",Xinfa Group,1100,operating,2014,NA,NA,ultra-super,lignite,NA,Wutong Town,Wujiaqu,NA,East Asia,44.26892,87.687877,exact,No permit,aluminum,power,NA,8272,101000,51.00%,4.3,143,33,coal,2054,2014,16,32,3.956,126.592,2030
G101467,L100542,Q200521,https://www.gem.wiki/China_Resources_Caofeidian_power_station,China,Hebei,China Resources Caofeidian 3,China Resources Caofeidian power station,华润电力唐山曹妃甸公司二期,Tangshan Caofeidian power station,China Resources Power Holdings 90%; Tangshan Construction Investment Co (唐山建设投资有限责任公司) 10.00%.,"China Resources (90%), Tangshan Construction Investment (10%)",1000,operating,2019,NA,NA,ultra-super,bituminous,NA,Caofeidian Port - Tangshan City,Caofeidian,Tangshan,East Asia,38.9960653,118.4875488,exact,2014-12-24,NA,NA,NA,8272,94600,51.00%,3.7,140.2,38,coal,2059,2019,11,37,3.4040000000000004,125.94800000000001,2030
